supplier,family,category,sub_family,sku,name,thickness_mm,length_m,unit_base,length_range,compatibility,composition,cost_excl_vat,cost_incl_vat,sale_excl_vat,sale_incl_vat,margin_percent,profit,consumer_final,web_price_excl_vat,web_sale_incl_vat,web_sale_incl_vat_alt,web_price_incl_vat,price_public
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,CAN.ISDC120,Canalón Isodec 50mm ISODEC PIR,50,3.03,unit,3.03,,PIR,77.71516935,,93.25820322,113.7750079,,,,108.8012371,,,132.7375092,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6801,Canalón Estandar 100 mm,100,3.03,unit,3.03,,EPS,57.95,,69.54,84.8388,,,,81.13,,,98.9786,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6802,Canalón Estandar 150 mm,150,3.03,unit,3.03,,EPS,66.71,,80.052,97.66344,,,,93.394,,,113.94068,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6803,Canalón Estandar 200 mm,200,3.03,unit,3.03,,EPS,66.44,,79.728,97.26816,,,,93.016,,,113.47952,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6804,Canalón Estandar 250 mm,250,3.03,unit,3.03,,EPS,86.92,,104.304,127.25088,,,,121.688,,,148.45936,
BROMYROS,ISODEC,Perfileria / Terminaciones,Isoroof Colonial,6805,Soporte de Canalón de 3 m,Estandar,3,unit,3,,PIR / EPS ,13.28,,15.936,19.44192,,,,18.592,,,22.68224,
,,,,PHB30,"PUR HiansaPanel 30mm 5G : 2,95 - 3,95 - 4,95 - 5,95 - 6,95 - 7,95  - 11,90  m / Gris Pizarra / Rojo Teja",Estandar,,N/A,,,,,33.42,,38.29932,0.146,4.87932,46.7251704,,46.788,57.08136,,
,,,,PHIANB295,"Hianza Panel de Becam 30 mm 5G - de 2,95 m de largo",Estandar,,N/A,,,,,98.59,,113.3785,0.15,14.7885,138.32177,,138.026,168.39172,,
,,,,PHIANB395,"Hianza Panel de Becam 30 mm 5G - de 3,95 m de largo",Estandar,,N/A,,,,,132.01,,151.8115,0.15,19.8015,185.21003,,184.814,225.47308,,
,,,,PHIANB495,"Hianza Panel de Becam 30 mm 5G - de 4,95 m de largo",Estandar,,N/A,,,,,165.43,,190.2445,0.15,24.8145,232.09829,,231.602,282.55444,,
,,,,PHIANB595,"Hianza Panel de Becam 30 mm 5G - de 5,95 m de largo",Estandar,,N/A,,,,,198.85,,228.6775,0.15,29.8275,278.98655,,278.39,339.6358,,
,,,,PHIANB695,"Hianza Panel de Becam 30 mm 5G - de 6,95 m de largo",Estandar,,N/A,,,,,232.27,,267.1105,0.15,34.8405,325.87481,,325.178,396.71716,,
,,,,PHIANB795,"Hianza Panel de Becam 30 mm 5G - de 7,95 m de largo",Estandar,,N/A,,,,,265.69,,305.5435,0.15,39.8535,372.76307,,371.966,453.79852,,
,,,,PHIANB1190,"Hianza Panel de Becam 30 mm 5G - de 11,90 m de largo",Estandar,,N/A,,,,,397.7,,457.355,0.15,59.655,557.9731,,556.78,679.2716,,
,,,,FR30P,Frontalín Prep. Gris Pizarra / Rojo Teja,Estandar,,N/A,,,,,12.57142857,,13.86,0.1025,1.288571429,16.9092,,17.6,21.472,,
,,,,LD30P,Perfil Lateral Derecho Prep. Gris Pizarra / Rojo Teja,Estandar,,N/A,,,,,18.22222222,,20.09,0.1025,1.867777778,24.5098,,25.51111111,31.12355556,,
,,,,LI30P,Perfil Lateral Izquierdo Prep. Gris Pizarra / Rojo Teja,Estandar,,N/A,,,,,18.22222222,,20.09,0.1025,1.867777778,24.5098,,25.51111111,31.12355556,,
,,,,CLCP5G,Cumbrera Lisa c. Cresta Prep. 5G   *Gris Pizarra / Rojo Teja,Estandar,,N/A,,,,,13.37868481,,14.75,0.1025,1.371315193,17.995,,18.73015873,22.85079365,,
,,,,ARATRAP,Arandela Trapezoidal - Todos los paneles - Unidad -  Gris. Terracota,Estandar,,N/A,,,,,0.8072562358,,0.89,0.1025,0.08274376417,1.0858,,1.13015873,1.378793651,,
,,,,Actualizado,Producto,Estandar,,N/A,,,,,,,,,,,,,,,
,,,,CHALC33,Chapas Aluzinc Cal. 33 - BC18 - BC30 - BC35 / Esp. 0.23 mm,Estandar,,N/A,,,,,4.154195011,,4.58,,0.4258049887,5.5876,,5.815873016,7.095365079,,
,,,,CHALC31,Chapas Aluzinc Cal. 31 - BC18 - BC30 - BC35 / Esp. 0.31 mm,Estandar,,N/A,,,,,6.829931973,,7.53,,0.7000680272,9.1866,,9.561904762,11.66552381,,
,,,,CHALC26,Chapas Aluzinc Cal. 26 - BC18 - BC30 - BC35 / Esp. 0.41 mm,Estandar,,N/A,,,,,8.571428571,,9.45,,0.8785714286,11.529,,12.0,14.64,,
,,,,CHALC24,Chapas Aluzinc Cal. 24 - BC18 - BC30 - BC35 / Esp. 0.50 mm,Estandar,,N/A,,,,,10.50340136,,11.58,,1.076598639,14.1276,,14.7047619,17.93980952,,
,,,,CHALC22,Chapas Aluzinc Cal. 22 - BC18 - BC30 - BC35 / Esp. 0.70 mm,Estandar,,N/A,,,,,16.84353741,,18.57,,1.726462585,22.6554,,23.58095238,28.7687619,,
,,,,CHPPC26,Chapas Prepintada Cal. 26 - BC18 - BC30 - BC35 / Esp. 0.41 mm / Azul / Gris Piz. / Terracota / Verde,Estandar,,N/A,,,,,11.09297052,,12.23,,1.137029478,14.9206,,15.53015873,18.94679365,,
,,,,CHPPC24,Chapas Prepintada Cal. 24 - BC18 - BC30 - BC35 / Esp. 0.50 mm / Blanco / Gris Piz. / Terracota / Negro,Estandar,,N/A,,,,,14.4399093,,15.92,,1.480090703,19.4224,,20.21587302,24.66336508,,
,,,,CHTJPPC26,Chapateja Prepintada Cal. 26  / Esp. 0.41 mm,Estandar,,N/A,,,,,11.09297052,,12.23,,1.137029478,14.9206,,15.53015873,18.94679365,,
,,,,CHTJPPC27,Chapateja Prepintada Cal. 27  / Esp. 0.41 mm,Estandar,,N/A,,,,,10.1,,12.33,,2.23,15.0426,,14.14,17.2508,,
,,,,CHTJPPC24,Chapateja Prepintada Cal. 24 / Esp. 0.50 mm,Estandar,,N/A,,,,,14.4399093,,15.92,,1.480090703,19.4224,,20.21587302,24.66336508,,
,,,,CHAPALC26,Autoportante Aluzinc BC-120 Cal. 26  / Esp. 0.41 mm,Estandar,,N/A,,,,,8.571428571,,9.45,,0.8785714286,11.529,,12.0,14.64,,
,,,,CHAPALC24,Autoportante Aluzinc BC-120 Cal. 24 / Esp. 0.50 mm,Estandar,,N/A,,,,,10.50340136,,11.58,,1.076598639,14.1276,,14.7047619,17.93980952,,
,,,,CHAPALC22,Autoportante Aluzinc BC-120 Cal. 22 / Esp. 0.70 mm,Estandar,,N/A,,,,,16.84353741,,18.57,,1.726462585,22.6554,,23.58095238,28.7687619,,
,,,,CHAPGLC20,Autoportante Galvanizado BC-120 Cal. 20 / Esp. 0.89 mm,Estandar,,N/A,,,,,20.55328798,,22.66,,2.106712018,27.6452,,28.77460317,35.10501587,,
,,,,CHAPGLC19,Autoportante Galvanizado BC-120 Cal. 19 / Esp. 1.11 mm,Estandar,,N/A,,,,,25.15192744,,27.73,,2.578072562,33.8306,,35.21269841,42.95949206,,
,,,,CHAPPC26,Autoportante Prepintada Cal. 26  / Esp. 0.41 mm,Estandar,,N/A,,,,,11.09297052,,12.23,,1.137029478,14.9206,,15.53015873,18.94679365,,
,,,,CHAPPC24,Autoportante Prepintada Cal. 24 / Esp. 0.50 mm,Estandar,,N/A,,,,,14.4399093,,15.92,,1.480090703,19.4224,,20.21587302,24.66336508,,
,,,,CHLIC33,Chapa Lisa Aluzinc Cal. 33 / Esp. 0.23mm,Estandar,,N/A,,,,,4.154195011,,4.58,,0.4258049887,5.5876,,5.815873016,7.095365079,,
,,,,CHLIC31,Chapa Lisa Aluzinc Cal. 31 / Esp. 0.31 mm,Estandar,,N/A,,,,,6.829931973,,7.53,,0.7000680272,9.1866,,9.561904762,11.66552381,,
,,,,CHLIC26,Chapa Lisa Aluzinc Cal. 26 / Esp. 0.41 mm,Estandar,,N/A,,,,,8.571428571,,9.45,,0.8785714286,11.529,,12.0,14.64,,
,,,,CHLIC24,Chapa Lisa Aluzinc Cal. 24 / Esp. 0.50 mm,Estandar,,N/A,,,,,10.50340136,,11.58,,1.076598639,14.1276,,14.7047619,17.93980952,,
,,,,CHLIC22,Chapa Lisa Aluzinc Cal. 22 / Esp. 0.70 mm,Estandar,,N/A,,,,,16.84353741,,18.57,,1.726462585,22.6554,,23.58095238,28.7687619,,
,,,,CHLIGC20,Chapa Lisa Galvanizada Cal. 20 / Esp. 0.89 mm / Ancho útil 1.22 m,Estandar,,N/A,,,,,20.55328798,,22.66,,2.106712018,27.6452,,28.77460317,35.10501587,,
,,,,CHLIGC19,Chapa Lisa Galvanizada Cal. 19 / Esp. 1.11 mm / Ancho útil 1.20 m,Estandar,,N/A,,,,,25.15192744,,27.73,,2.578072562,33.8306,,35.21269841,42.95949206,,
,,,,CHLIGC11,Chapa Lisa Galvanizada Cal. 11 / Esp. 3.00 mm (chapas 1x4 m)  solo chapa de 1 x 4m,Estandar,,N/A,,,,,223.1111111,,245.98,,22.86888889,300.0956,,312.3555556,381.0737778,,
,,,,CHLIPPC26,Chapa Lisa Prepintada Cal. 26 / Esp. 0.41 mm,Estandar,,N/A,,,,,11.09297052,,12.23,,1.137029478,14.9206,,15.53015873,18.94679365,,
,,,,CHLIPPC24,Chapa Lisa Prepintada Cal. 24 / Esp. 0.50 mm,Estandar,,N/A,,,,,14.4399093,,15.92,,1.480090703,19.4224,,20.21587302,24.66336508,,
,,,,CHLIC21,"Chapa BC-700  GALVANIZADA Cal. 21  esp. 0,89mm // 0,7m ancho",Estandar,,N/A,,,,,16.07256236,,17.72,,1.647437642,21.6184,,22.5015873,27.45193651,,
,,,,CHLIC19,"Chapa BC-800  Aluzinc Cal. 19 esp. 0,7mm // 0,8m ancho",Estandar,,N/A,,,,,24.09070295,,26.56,,2.469297052,32.4032,,33.72698413,41.14692063,,
